time,open,high,low,close,Volume,Volume MA
1581033600,9761.705,9879.49,9714.13,9807.01,16944.32868633,21361.86093892283
1581120000,9807.05,9948.3025,9657.6225,9906.1175,15405.49687657,20419.975144398828
1581206400,9906.755,10177.09,9886.375,10167.7075,19910.81999106,20697.46720397283
1581292800,10166.69,10199.7125,9731.0725,9852.9925,28267.68017496,21294.66044497533
1581379200,9854.5325,10396.01,9708.5575,10270.4125,34335.4832528,22400.12874887083
1581465600,10270.5225,10488.305,10241.3875,10351.8125,28844.14541171,22422.34330679183
1581552000,10351.88,10514.2025,10074.7275,10238.0375,35588.30353825,23179.974326240328
1581638400,10235.2125,10396.0075,10101.04,10369.7275,19437.99109418,23678.077506356327
1581724800,10369.725,10401.26,9751.725,9904.735,23290.8280292,24051.684954343327
1581811200,9908.385,10048.9425,9617.6525,9922.8975,17671.47288801,23603.627819708327
1581897600,9921.6375,9967.24,9472.125,9701.0875,21974.93899473,22867.272946019828
1581984000,9711.5925,10285.7175,9606.9675,10185.295,24717.91420077,22839.399471879828
1582070400,10189.69,10306.265,9307.4275,9598.8125,35394.97715075,23091.067939159828
1582156800,9594.5325,9702.0825,9382.575,9610.905,24454.21514155,23285.168367946324
1582243200,9608.75,9772.38,9566.8475,9698.3575,14913.60595398,23624.896805414824
1582329600,9698.2275,9722.8825,9575.2225,9670.8825,6745.43666626,23256.418143503324
1582416000,9668.935,10022.14,9667.66,9968.39,11922.95931657,22725.026465716823
1582502400,9970.12,10026.365,9482.0175,9660.7575,22723.34540929,22976.996291894822
1582588800,9662.705,9680.6525,9238.9275,9307.825,21099.32412369,22555.135323212824
1582675200,9306.5725,9370.61,8623.695,8780.31,44223.08303608,23393.317496836826
1582761600,8779.995,8972.3925,8519.075,8812.2875,31115.94613609,24101.898369324823
1582848000,8816.35,8898.86,8429.8975,8708.2775,27278.12848952,24695.529949972326
1582934400,8706.9675,8800.8,8524.35,8526.76,10079.97890491,24203.987895664824
1583020800,8528.5075,8752.9875,8406.2525,8527.415,15441.1262788,23562.660200856822
1583107200,8521.375,8972.2625,8487.2825,8917.49,22406.82678279,22966.227377356325
1583193600,8917.625,8923.6925,8655.715,8754.4925,18586.25017892,22453.332615716823
1583280000,8756.825,8847.8675,8668.6825,8757.4225,13453.77084953,21346.605981280823
1583366400,8758.6325,9170.465,8757.855,9067.5425,23085.0180233,21528.957327736825
1583452800,9063.2225,9181.3575,9000.985,9156.305,14906.84915552,21109.75838405282
1583539200,9157.1725,9217.95,8857.115,8899.3625,12920.23026126,20872.196252715323
1583625600,8899.565,8899.66,8000.2,8036.475,34664.19815936,21506.659210946822
1583712000,8037.4375,8186.585,7552.575,7932.88,52893.59099693,22915.44305075482
1583798400,7932.72,8156.0125,7726.8875,7887.13,36282.00935594,22959.79466101432
1583884800,7891.9625,7995.7125,7588.72,7937.8525,29428.93417824,23208.530612848823
1583971200,7949.5675,7968.1825,4673.2225,4844.805,230551.48329433,33990.42447986632
1584057600,4844.805,5996.0875,3880.5875,5635.8925,248739.40323738,46090.12280842232
1584144000,5627.675,5694.2275,5052.4875,5166.4675,62729.2554743,48630.437616308816
1584230400,5161.7925,5985.02,5090.57,5343.135,80797.05409482,51534.12305058532
1584316800,5346.805,5349.965,4407.18,5037.2225,153889.3685883,58173.62527381582
1584403200,5045.05,5566.905,4935.7975,5332.8675,85759.875875,60250.46491576182
1584489600,5334.43,5451.3125,5010.8725,5414.0525,82727.73017942,62831.05411792832
1584576000,5416.645,6436.485,5267.0425,6185.74,110094.537815,66971.87458420232
1584662400,6188.77,7027.6625,5666.9425,6207.055,114476.24102634,72191.68769027383
1584748800,6208.885,6466.505,5857.7775,6197.8275,49595.97911271,73899.43033196933
1584835200,6194.4675,6418.85,5734.96,5824.085,54742.9758438,75516.23778501982
1584921600,5817.7525,6633.955,5686.91,6497.31,86220.30377223,78897.94046468532
1585008000,6496.9425,6875.2,6403.0425,6769.9625,82422.82927254,82346.39338583584
1585094400,6767.1275,6983.76,6465.1875,6691.9525,65029.95676531,84443.64032293632
1585180800,6692.82,6795.82,6525.7525,6753.585,34039.84725116,85400.29022771833
1585267200,6754.835,6872.7925,6254.625,6375.7975,43798.57248054,86944.20733868233
1585353600,6374.45,6374.475,6034.4,6253.6775,43070.62455054,87364.52865824132
1585440000,6257.7875,6280.6775,5869.9225,5876.4525,33686.34759148,86404.16648796883
1585526400,5878.2075,6632.6025,5854.3525,6406.07,52766.19525887,87228.37578311533
1585612800,6406.515,6526.965,6337.145,6424.0325,25913.72895261,87052.61552183384
1585699200,6425.015,6719.99,6152.895,6661.81,43277.39791507,77688.91125287084
1585785600,6666.485,7267.625,6575.535,6802.8275,69642.21758022,68734.05197001282
1585872000,6798.8425,7049.995,6608.8825,6741.01,39534.34458847,67574.30642572133
1585958400,6739.1725,7014.3825,6656.72,6874.445,24052.23741704,64737.06559183232
1586044800,6882.9,6914.2525,6679.9775,6777.015,18026.88908183,57943.94161650882
1586131200,6777.865,7372.43,6773.06,7343.6125,57452.48941266,56528.57229339182
1586217600,7339.165,7469.58,7077,7202.6875,47703.89631778,54777.38060030983
